Ciudad,Departamento
Bogotá,Capital District
Leticia,Amazonas
El Encanto,Amazonas
La Chorrera,Amazonas
La Pedrera,Amazonas
La Victoria,Amazonas
Mirití-Paraná,Amazonas
Puerto Alegría,Amazonas
Puerto Arica,Amazonas
Puerto Nariño,Amazonas
Puerto Santander,Amazonas
Tarapacá,Amazonas
Medellín,Antioquia
Abejorral,Antioquia
Abriaquí,Antioquia
Alejandría,Antioquia
Amagá,Antioquia
Amalfi,Antioquia
Andes,Antioquia
Angelópolis,Antioquia
Angostura,Antioquia
Anorí,Antioquia
Anza,Antioquia
Apartadó,Antioquia
Arboletes,Antioquia
Argelia,Antioquia
Armenia,Antioquia
Barbosa,Antioquia
Bello,Antioquia
Belmira,Antioquia
Betania,Antioquia
Betulia,Antioquia
Briceño,Antioquia
Buriticá,Antioquia
Cáceres,Antioquia
Caicedo,Antioquia
Caldas,Antioquia
Campamento,Antioquia
Cañasgordas,Antioquia
Caracolí,Antioquia
Caramanta,Antioquia
Carepa,Antioquia
Carolina,Antioquia
Caucasia,Antioquia
Chigorodó,Antioquia
Cisneros,Antioquia
Ciudad Bolívar,Antioquia
Cocorná,Antioquia
Concepción,Antioquia
Concordia,Antioquia
Copacabana,Antioquia
Dabeiba,Antioquia
Don Matías,Antioquia
Ebéjico,Antioquia
El Bagre,Antioquia
El Carmen de Viboral,Antioquia
El Santuario,Antioquia
Entrerríos,Antioquia
Envigado,Antioquia
Fredonia,Antioquia
Frontino,Antioquia
Giraldo,Antioquia
Girardota,Antioquia
Gómez Plata,Antioquia
Granada,Antioquia
Guadalupe,Antioquia
Guarne,Antioquia
Guatapé,Antioquia
Heliconia,Antioquia
Hispania,Antioquia
Itagüí,Antioquia
Ituango,Antioquia
Jardín,Antioquia
Jericó,Antioquia
La Ceja,Antioquia
La Estrella,Antioquia
La Pintada,Antioquia
La Unión,Antioquia
Liborina,Antioquia
Maceo,Antioquia
Marinilla,Antioquia
Montebello,Antioquia
Murindó,Antioquia
Mutatá,Antioquia
Nariño,Antioquia
Nechí,Antioquia
Necoclí,Antioquia
Olaya,Antioquia
Peñol,Antioquia
Peque,Antioquia
Pueblorrico,Antioquia
Puerto Berrío,Antioquia
Puerto Nare,Antioquia
Puerto Triunfo,Antioquia
Remedios,Antioquia
Retiro,Antioquia
Rionegro,Antioquia
Sabanalarga,Antioquia
Sabaneta,Antioquia
Salgar,Antioquia
San Andrés de Cuerquia,Antioquia
San Carlos,Antioquia
San Francisco,Antioquia
San Jerónimo,Antioquia
San José de la Montaña,Antioquia
San Juan de Urabá,Antioquia
San Luis,Antioquia
San Pedro de los Milagros,Antioquia
San Pedro de Urabá,Antioquia
San Rafael,Antioquia
San Roque,Antioquia
San Vicente,Antioquia
Santa Bárbara,Antioquia
Santa Fe de Antioquia,Antioquia
Santa Rosa de Osos,Antioquia
Santo Domingo,Antioquia
Segovia,Antioquia
Sonsón,Antioquia
Sopetrán,Antioquia
Támesis,Antioquia
Tarazá,Antioquia
Tarso,Antioquia
Titiribí,Antioquia
Toledo,Antioquia
Turbo,Antioquia
Uramita,Antioquia
Urrao,Antioquia
Valdivia,Antioquia
Valparaíso,Antioquia
Vegachí,Antioquia
Venecia,Antioquia
Vigía del Fuerte,Antioquia
Yalí,Antioquia
Yarumal,Antioquia
Yolombó,Antioquia
Yondó,Antioquia
Zaragoza,Antioquia
Arauca,Arauca
Arauquita,Arauca
Cravo Norte,Arauca
Fortul,Arauca
Puerto Rondón,Arauca
Saravena,Arauca
Tame,Arauca
Barranquilla,Atlántico
Baranoa,Atlántico
Campo de La Cruz,Atlántico
Candelaria,Atlántico
Galapa,Atlántico
Juan de Acosta,Atlántico
Luruaco,Atlántico
Malambo,Atlántico
Manatí,Atlántico
Palmar de Varela,Atlántico
Piojó,Atlántico
Polonuevo,Atlántico
Ponedera,Atlántico
Puerto Colombia,Atlántico
Repelón,Atlántico
Sabanagrande,Atlántico
Sabanalarga,Atlántico
Santa Lucía,Atlántico
Santo Tomás,Atlántico
Soledad,Atlántico
Suán,Atlántico
Tubará,Atlántico
Usiacurí,Atlántico
Cartagena,Bolívar
Achí,Bolívar
Altos del Rosario,Bolívar
Arenal del Sur,Bolívar
Arjona,Bolívar
Arroyohondo,Bolívar
Barranco de Loba,Bolívar
Calamar,Bolívar
Cantagallo,Bolívar
Carmen de Bolivar,Bolívar
Cicuco,Bolívar
Clemencia,Bolívar
Córdoba,Bolívar
El Guamo,Bolívar
El Peñón,Bolívar
Hatillo de Loba,Bolívar
Magangué,Bolívar
